radio,mcc,mnc,Company,lac,cid,changeable_0,long,lat,range,sample,changeable_1,created,updated,avgsignal
LTE,405,857,Jio,44,2697745,0,71.893501,23.840023,1000,1,1,1526978293,1526978293,0
LTE,405,857,Jio,44,1636402,0,72.095276,23.70916,1000,1,1,1526980242,1526980242,0
LTE,405,857,Jio,44,2681618,0,72.123055,23.712683,1000,1,1,1526980494,1526980494,0
LTE,405,857,Jio,44,3314211,0,72.124825,23.710897,1000,1,1,1526980508,1526980508,0
LTE,405,857,Jio,44,1994769,0,72.257195,23.677967,1000,1,1,1526981271,1526981271,0
LTE,405,857,Jio,44,2681621,0,72.146172,23.70664,1000,1,1,1526980615,1526980615,0
LTE,405,857,Jio,39,1934100,0,72.344002,23.616362,1000,1,1,1526981974,1526981974,0
LTE,405,857,Jio,39,1934107,0,72.335602,23.623215,1000,1,1,1526981871,1526981871,0
LTE,405,857,Jio,39,2941712,0,72.329322,23.600839,1000,4,1,1526982110,1526982132,0
LTE,405,857,Jio,39,2941731,0,72.329285,23.597273,1000,1,1,1526982134,1526982134,0
LTE,405,857,Jio,39,1674259,0,72.337616,23.571791,1000,1,1,1526982552,1526982552,0
LTE,405,857,Jio,39,1674256,0,72.339401,23.569933,1000,1,1,1526982568,1526982568,0
LTE,405,857,Jio,86,3613234,0,72.48613,23.247368,1000,1,1,1526985104,1526985104,0
LTE,405,857,Jio,86,518692,0,72.486954,23.242777,1000,1,1,1526985147,1526985147,0
LTE,405,857,Jio,86,1097492,0,72.490555,23.23959,1000,1,1,1526985186,1526985186,0
LTE,405,857,Jio,86,903703,0,72.503136,23.233226,1000,3,1,1526985283,1614418249,0
LTE,405,857,Jio,86,519958,0,72.504311,23.23233,1000,1,1,1526985285,1526985285,0
LTE,405,857,Jio,21,1715728,0,73.991768,22.655954,1000,1,1,1527230929,1527230929,0
LTE,405,857,Jio,21,3460133,0,74.013306,22.625675,1000,1,1,1527231997,1527231997,0
LTE,405,857,Jio,103,2950961,0,73.412994,22.450645,1000,1,1,1528101017,1528101017,0
LTE,405,857,Jio,21,3011620,0,73.913456,22.724981,1000,2,1,1529337193,1541313248,0
LTE,405,857,Jio,21,1714194,0,73.872749,22.670828,1000,1,1,1534853924,1534853924,0
LTE,405,857,Jio,21,3458098,0,73.931625,22.69636,1000,1,1,1537105327,1537105327,0
LTE,405,857,Jio,16,257554,0,73.206657,22.28673,1000,1,1,1538792737,1538792737,0
LTE,405,857,Jio,16,1515026,0,73.205833,22.287163,1000,1,1,1538792776,1538792776,0
LTE,405,857,Jio,17,3705136,0,73.194534,22.293119,1000,1,1,1538793077,1538793077,0
LTE,405,857,Jio,17,2035472,0,73.19473,22.297978,1000,4,1,1538793122,1538793142,0
LTE,405,857,Jio,17,2035479,0,73.194862,22.299625,1000,1,1,1538793149,1538793149,0
LTE,405,857,Jio,17,2035504,0,73.194862,22.299692,1000,1,1,1538793155,1538793155,0
LTE,405,857,Jio,17,2035474,0,73.194494,22.301008,1000,3,1,1538793205,1538793220,0
LTE,405,857,Jio,17,227122,0,73.190707,22.301243,1000,3,1,1538793247,1664636149,0
LTE,405,857,Jio,17,259378,0,73.191559,22.301474,1000,1,1,1538793251,1538793251,0
LTE,405,857,Jio,17,259365,0,73.190582,22.302685,1000,1,1,1538793268,1538793268,0
LTE,405,857,Jio,21,3011619,0,73.927841,22.739992,1000,1,1,1541315497,1541315497,0
